Goliath				巨人
relationship				联系，关系
rely				依靠，信赖
repeatedly			不停的，一再
repression			压抑
resemblance			相似之处
resurgence			复兴
retail				零售
retreat				改变主意
revenue				收入
reward				报偿
ripple				细浪，波动
ritual		礼节
rival				竞争对手
roar			咆哮，大喊
rock				岩石，摇晃
roll-out			首次发布
route				路途
sacrifice			牺牲
score				得分
scrap				碎片，打架，取消
scrutiny			仔细的审查
section				部分，阶层
semiconductor			半导体
set off				动身，触发
severe					严重的，严肃的
shame				羞愧，耻辱
sharply				突然
shift				挪动，转移
shortage			缺乏
shot up				喷出
sign				符号，签订
significant			重要的
significantly			显著的
sincerity			真诚
single				仅一个的
skepticism			怀疑态度
skyscraper				摩天大楼
slap			拍，掌㧽
slip				滑倒，滑动
social-distance		社交距离
sophisticate	复杂的
sort				种类，某种，分类
speed up			增速
spike				尖，尖峰
spinal cord injuries		脊髓损伤
start-up			初创公司
state				状况，说明
statement			说明，表态
steadily			逐步的，平静的
steady		持续的
stimulate			促进
stimulate			刺激
stock market			股市
stretch back			回溯
string				细绳，一串，悬挂
stroke			一击，一笔
submission			提交，屈服
substance			物质
substantial			可观的，显著的
substitute			代替品
succumb				屈服，被压垮
supply				供应，供给
suppose				认为，设想
surge				使强烈感受到，急剧上涨
surpass		超过
surrender	投降
swap				交换
sweep				清扫，横扫
sync		同步
synonymous	同义的
team up			合作
temporary			短期的，临时的
territory			领土，地盘
the disadvantaged		下层社会
threshold	门槛，关口
timetable			时间表
tinker				修补
titan				巨人，巨头
to a certain extent		从某种程度来说
toast				烤面包片，干杯
top off				结束
tough				刚强的，强硬的
trajectory	轨道
treadmill			跑步机
treatise			专著
trend					趋势，倾向
trial				试验
turn out			结果是，出现
turn up			出现
tyrannical			残暴的
unaffiliated			非附属的
unambiguous			不含糊的
unearthly			神秘的，荒唐的
unreasonable			不讲道理的，过分的
unveil			展示，介绍
unwise				愚蠢的
up and running			正常运营
upside down			颠倒的
uptick				小幅增加
urge				欲望
urinate				排尿
vaccination			接种
vaccine				疫苗
vast			巨大的
veteran				老兵
victim-blaming			指责受害者
violation			违反，侵犯
violent				暴力的
virtual		几乎
vital			必不可少的
vivid					鲜艳的，清晰的
wealth					钱财，资源
wear off				感觉逐渐消失
worsen				使变得更糟
\\\\\\\\\\

rank | BrE raŋk, AmE ræŋk | 名词:地位，级别；军衔，警衔；高层社会地位；等级；行列；排；出租车站；级；横排/复数形式:普通士兵；成员/及物动词:把...分等级；将...排成行；级别高于/不及物动词:排位；级别最高的/形容词:绝对的；难闻的；疯长的
他被提升到部级:he was elevated to ministerial rank
被剥夺军衔:to be stripped of one's rank
晋升到上校军阶:to be promoted to the rank of captain
被按照难度分类:to be ranked in order of difficulty



set off | 不及物动词:动身/及物动词[set off sth, set sth off]:触发，引爆；引发；衬托；弥补/及物动词[set sb off]:使开始
她向山下/车站走去:she set off down the hill/for the station
引发一连串事件:to set off a chain of events
用某物抵消某物:to set sth off against sth;
使某人开始做某事:to set sb off doing sth;



furore | fjʊˈrɔːri | , , US furor | ˈfjuːrɔːr | 名词:轰动，公愤
(reaction, excitement, acclaim) 引起轰动:to cause a furore;
(outrage) 引起公愤:to cause a furore;
因那些相片引起轰动: there was a furore over the photos;



critic | BrE ˈkrɪtɪk, AmE ˈkrɪdɪk | 名词:评论家；批评者
艺术评论家:an art critic
我们最不需要的是纸上谈兵的评论家发表的“智慧”言论。
The last thing we need are words of wisdom from an armchair critic



film | BrE fɪlm, AmE fɪlm | 名词:电影；电影业；纪录片；胶卷，胶片；薄层；薄膜/及物动词:拍摄/不及物动词:拍摄电影
制作/拍摄影片:to make/shoot a film;
电影产业:the film industry
冲洗胶卷:to develop a film;
薄薄的一层油/灰:a film of oil/dust


campus | BrE ˈkampəs, AmE ˈkæmpəs | plural campuses 名词:校园
住在校内/校外:to live on/off campus




proceed | BrE prəˈsiːd, AmE prəˈsid,proʊˈsid | 不及物动词:继续；进展，继续；前行；延伸；起诉；/及物动词:继续讲
在我们继续下一议项之前(at meeting)/在我们谈下一点之前(in middle of speech):before we proceed any further
审理在进行中:the trial is proceeding
前往…/沿…前行:to proceed towards/along …
“哦，”她接着说，“事情是这样的…”:‘well,’she proceeded, ‘it was like this …’



pretty | BrE ˈprɪti, AmE ˈprɪdi | 形容词:漂亮的，悦耳的/副词:非常，相当
美丽如画:as pretty as a picture
不只脸蛋漂亮:not just a pretty face
讽刺ironic 这/那糟透了:this/that is a pretty state of affairs
非常好/糟:pretty good/bad
处境有利: to be sitting pretty



string | BrE strɪŋ, AmE strɪŋ | 名词:细绳；弦；牵线；带子；一串；一连串；一批；一排；字符串；附加条件/复数形式:弦乐器(演奏者)/及物动词:悬挂；给...装弦(绷线)；把...串起来/不及物动词:充当报料人
一团/一根/一段细绳:a ball/piece/length of string
用细绳捆扎某物: to tie sth (up) with string
（给某乐器）调弦:to tune the strings (on sth)
非正式informal （为某人）走后门:to pull strings (for sb)




grainy | BrE ˈɡreɪni, AmE ˈɡreɪni | 形容词:麻面的，粒状的
这部电影拍成有颗粒状的黑白片。
The film is shot in grainy black and white.




clip | BrE klɪp, AmE klɪp | 名词:夹子；线夹；别针/及物动词:夹住；诈骗
将文件夹在一起:to clip papers together;
夹在信上的账单:a bill clipped to the letter
游客被骗金额多达200美元:the tourists were being clipped for up to 200 dollars
她把自己之前的最佳纪录缩短了两秒。:She clipped two seconds off her previous best time.



top off | [以特定方式] 结束
以某物结束某事: to top sth off with sth;
以做某事结束某事:to top sth off by doing sth;





piece | BrE piːs, AmE pis | 名词:块；片；段；张；件；部件；碎片；硬币；棋子；枪，炮；女人
一块木头/玻璃/金属:a piece of wood/glass/metal
比喻figurative 对某人表示不满: to give sb a piece of one's mind
一根绳子/细绳/丝带:a piece of rope/string/ribbon
一首诗/一桩幸事/一件雕塑/一段历史/一支曲子:a piece of poetry/luck/sculpture/history/music




unambiguous | BrE ʌnamˈbɪɡjʊəs, AmE ˌənæmˈbɪɡjuəs | 形容词:不含糊的
他在这件事情上的态度仍然很明确
his attitude on the matter remains unambiguous



barely | BrE ˈbɛːli, AmE ˈbɛrli | 副词:仅仅，几乎不；贫乏的
她刚刚完成就…:she had barely finished when …
仅仅12个小时后:barely 12 hours later
勉强能走路:to be barely able to walk
陈设简陋的房间:a barely furnished room




ripple | BrE ˈrɪp(ə)l, AmE ˈrɪpəl | 名词:细浪；波纹状物；起伏声；波动/不及物动词:起涟漪/及物动词:使...起涟漪
微风中麦浪起伏:the breeze made ripples in the cornfield
林地里溪水的潺潺声:the ripple of a woodland stream
这项措施将会引发经济波动:this measure will send ripples through the economy



exhibit | BrE ɪɡˈzɪbɪt,ɛɡˈzɪbɪt, AmE ɪɡˈzɪbət | 及物动词:展出，陈列；表现出；当庭出示/不及物动词:展出作品；开展览会/名词:展览品，陈列品；展览；证件，物证
他善解人意地提出愿意把展览需要的植物通通借给我们。
He had kindly offered to loan us all the plants required for the exhibit




prominent | BrE ˈprɒmɪnənt, AmE ˈprɑmənənt | 形容词:重要的，著名的；显眼的，显著的；凸出的
金鱼眼/龅牙:prominent eyes/teeth
这则报道刊登在头版的显著位置。:The story was given a prominent position on the front page.



non-profit | 形容词:非营利性的
非营利组织:a non-profit organization
在非营利的基础上:on a non-profit basis



fundamental | BrE fʌndəˈmɛnt(ə)l, AmE ˌfəndəˈmɛn(t)əl | 形容词:基本的；全然的；根本的；关键的/复数形式:基本原理
对某事极为重要:to be fundamental to sth;
彻底的不相容:a fundamental incompatibility
这些是根深蒂固的分歧:these are fundamental differences
最为关心/重要:to be of fundamental concern/importance




affront | BrE əˈfrʌnt, AmE əˈfrənt | 名词:侮辱/及物动词:侮辱
她将我的询问当成了人身侮辱
She has taken my enquiry as a personal affront.






deem | BrE diːm, AmE dim | 及物动词:认为
认为某人怎么样/某事是某事:to deem sb/sth to be sth;
被认为怎么样/干某事:to be deemed to be/do sth;
你的短文评价最高:your essay was deemed the best
大家认为…有必要/是明智的:t was deemed necessary/advisable to …




object | BrE ˈɒbdʒɛkt,ˈɒbdʒɪkt, AmE ˈɑbdʒɛkt | 名词:物品；对象；目的；障碍；客体；宾语；目标/不及物动词:反对/及物动词:反对
日常用品:everyday objects
成为某人钟爱/憎恨的对象:to become the object of sb's affection/hatred
没有人生目标:to have no object in life
反对某人当领导:to object to sb as leader





raise | BrE reɪz, AmE reɪz | 及物动词:举起，抬起，拉起，升起，提升；竖起，扶起；提高；打捞；提拔；使复活；使...出现，唤起，扬起；提高；提出；筹措；收，得到；组建，召集；扶养大，词养大；饲养，种植；竖起；解除；和...取得联系；使自乘；下注超过；使...发酵/反身动词:直起身子/名词:加薪；赌注加码
他将杯子举到唇边:he raised the glass to his lips
提高某人对某事物的意识:to raise sb's awareness or consciousness of sth
让人脸红: to raise a blush
他生长在上海:he was born and raised in Shanghai




curator | BrE kjʊ(ə)ˈreɪtə, AmE ˈkjʊrˌeɪdər,kjʊˈreɪdər,ˈkjʊrədər | 名词:[博物馆等收藏机构的] 馆长
彼得·福雷是自然历史博物馆鱼类化石展厅的负责人。
Peter Forey is curator of fossil fishes at the Natural History Museum.




immunity | BrE ɪˈmjuːnɪti, AmE ɪˈmjunədi | 名词:免疫力；豁免；豁免权；不受影响
自然/获得性免疫力:natural/acquired immunity
税收/法律上的豁免:tax/legal immunity
外交/议会豁免权:diplomatic/parliamentary immunity
对批评的无动于衷:immunity to criticism






auspicious | BrE ɔːˈspɪʃəs, AmE ɔˈspɪʃəs | 形容词:吉利的
事业上的开门红:an auspicious start to one's career





urinate | BrE ˈjʊərɪneɪt, AmE ˈjʊrəˌneɪt | 不及物动词:排尿
结果34例患者术后7~14d均能恢复自主排尿:Results The 34 patients regained voluntary urinating ability within 7-14 days.





upside down | BrE ˌʌpsʌɪ(d) ˈdaʊn, AmE ˌəpˌsaɪ(d) ˈdaʊn | 副词:颠倒地；凌乱不堪地/形容词:颠倒的，倒立的；杂乱的
蝙蝠倒挂身体:bats hang upside down
把某人的生活搅得一团糟:to turn sb's life upside down
照片挂反了:the photo is upside down



courtship | BrE ˈkɔːtʃɪp, AmE ˈkɔrtˌʃɪp | 名词:求爱期；求爱；
求偶仪式:a courtship ritual



heat | BrE hiːt, AmE hit | 名词:发情期
处于/进入发情期: to be/come on British or in US heat





finicky | BrE ˈfɪnɪki, AmE ˈfɪnɪki | 形容词:过分讲究的；烦琐的
对某事过分讲究:to be finicky about sth;
这是个很细致的工作。:It's a very finicky job.




cub | BrE kʌb, AmE kəb | 名词:幼兽；幼童军
母狮排斥最小的幼狮，把它饿死了。
The lioness rejected the smallest cub, which died.




incubator | BrE ˈɪŋkjʊbeɪtə, AmE ˈɪŋkjəˌbeɪdər | 名词:孵化器；恒温器；恒温箱
基于知识结构的企业孵化器服务能力分析
The Analysis of Business Incubator Service Capability Based on Knowledge Structure.




swap | BrE swɒp, AmE swɑp | 及物动词:交换，和...交换，对调...的位置，交流对调/不及物动词:交换/名词:交换，交换品
给我把这块蛋糕换成巧克力，好吗？:will you swap me a chocolate for this piece of cake?
如果你更喜欢这个，我和你换:if you like this one better, I'll swap you
把东西对调:to swap things over or around
交换电话号码:to swap phone numbers




from time to time |
然后我们会在吃饭的时候不时地检查一下手机,看看我们是否收到了点赞。
Then we check our mobiles from time to time during the meal, to see whether we get "liked" or not.




feed | BrE fiːd, AmE fid | 及物动词:给...食物;用...喂，喂；供给；满足，助长；传球给，传；给...题词/不及物动词:进食/名词:一餐；饲料；进料；提词
养活一大家人/一支军队:to feed a large family/an army
我给孩子们吃烘豆:I feed the children on baked beans
这湖是由几条河汇流而成的:the lake is fed by several rivers
这些马通常以燕麦为食:the horses usually feed on oats
给马喂一次燕麦:to give the horse a feed of oats


suppose | BrE səˈpəʊz, AmE səˈpoʊz | 及物动词:认为；设想，假定； [表示勉强同意]； [表示生气]；[表示婉转的建议、提问或请求]： 猜想
办签证不像你想的那么容易:getting a visa isn’t as simple as you might suppose
这个理论假定其他行星上存在生命:the theory supposes the existence of life on other planets
我能借这辆车吗？──我看行吧:can I borrow the car? — I suppose so
我能不能看看您的报纸？:I don’t suppose I could have a look at your newspaper, could I?


governor | BrE ˈɡʌv(ə)nə, AmE ˈɡəv(ə)nər | 名词:地方行政长官；总督；州长；主管；董事；老板；调节器
省长:a provincial governor
英格兰银行总裁:the Governor of the Bank of England
典狱长:a prison governor
董事会:the Board of governors


deprive | BrE dɪˈprʌɪv, AmE dəˈpraɪv | 及物动词:剥夺
剥夺某人的某物:to deprive sb of sth;
他被剥夺了权利:he was deprived of his rights




draw | BrE drɔː, AmE drɔ | 及物动词:画，描绘；拉；吸引，使喜欢上；掏出，拔出；以平局结束；吊；抽；领取，开；抽出，取用；除去...的内脏；得到；作出；引起，使...开口；带领；排出；吃水；拉拔，轧制/不及物动词:绘画；移动；以平局结束，同时达到；拔出武器；抽签；抽水，吸尘；泡开/名词:抽签，抽彩，抽签赛；平局；有吸引力的人，有吸引力的事物；拔枪；吸烟
（在某事/做某事上）划定底线: to draw the line (at sth/doing sth)
火车由蒸汽机拉动:the train was drawn by a steam engine
我们同病相怜:our grief drew us together
比喻figurative 我们就要领先对手了:we are drawing ahead of our rivals
这场比赛以平局结束:the match/game ended in a draw


negotiate | BrE nɪˈɡəʊʃɪeɪt, AmE nəˈɡoʊʃiˌeɪt | 不及物动词:谈判/及物动词:商定，谈成；顺利通过，成功越过；解决，通过；转让
协商某事:to negotiate about or over sth;
谈判谋求某物:to negotiate for sth;
与某人谈判: to negotiate with sb;
我们想把有关各方拉回到谈判桌上来。:We want to get all the parties back to the negotiating table.


lengthen | BrE ˈlɛŋ(k)θ(ə)n,ˈlɛn(t)θən, AmE ˈlɛŋ(k)θən | 及物动词:加长，放长；延长；拖长/不及物动词:变长，长长，伸长；变长，延长
把某物从X米加长到Y米:to lengthen sth from X metres to Y metres
使…从X年延长到Y年:to lengthen sth from X years to Y years
从X厘米变长为Y厘米:to lengthen from X cm to Y cm
平均寿命从70岁延长到了75岁:the average life-span has lengthened from 70 to 75 years






practice | BrE ˈpraktɪs, AmE ˈpræktəs | 名词:实践;练习;常规;习惯;工作/形容词:训练的
把某事付诸实践:to put sth into practice
实际上: in practice
谚语proverb 熟能生巧:practice makes perfect
我一如既往地在早上6点钟起床了:as is my (usual) practice, I got up at 6 a.m.




stretch back | 不及物动词:回溯；往后延伸
这个传统可以回溯到几个世纪前: this tradition stretches back (for) centuries
回溯到某人/某事物:to stretch back to sb/sth;
向后延伸至某物:to stretch back to sth;
交通拥堵的车流到了高速公路:the traffic jam stretches back to the motorway



empress | BrE ˈɛmprəs, AmE ˈɛmprəs | 名词:皇后；女皇
按照传统，皇帝和皇后未参加该仪式。
In keeping with tradition, the Emperor and Empress did not attend the ceremony.



diplomacy | BrE dɪˈpləʊməsi, AmE dəˈploʊməsi | 名词:外交；外交技巧； [处理人际关系的] 手腕
解决这个争端需要十分老练和娴熟的外交手腕。
Settling the dispute required great tact and diplomacy.



loan | BrE ləʊn, AmE loʊn | 名词:借款；借用/及物动词:借出，借调
2万英镑的借款:a £20,000 loan, a loan of £20,000
获得/申请/发放贷款:to take out/ask for/give a loan
借给某人某物/借用某物:to give sb/have the loan of sth;
借给某机构/某人:to be on loan to sth/sb;



offspring | BrE ˈɒfsprɪŋ, AmE ˈɔfˌsprɪŋ,ˈɑfˌsprɪŋ | 幼崽，子女
杰克是她唯一的后代。
Jack is her only offspring.





captivity | BrE kapˈtɪvɪti, AmE kæpˈtɪvədi | 名词:囚禁
被囚禁:to be held or kept in captivity
被关起来的动物:animals in captivity








match | BrE matʃ, AmE mætʃ | 名词:比赛；对手；相配之物；搭档；婚姻，婚配/及物动词:使相配；和...相配，和...匹配；与...一致；比得上；使...较量，比试；不及物动词:相配，匹配/名词:火柴
客场/主场比赛:an away/a home match
棋逢对手:to meet one's match
匹配:to form a match
你捐出多少钱，政府就会拿出多少钱:the government will match your contribution dollar for dollar




cruise | BrE kruːz, AmE kruz | 不及物动词:乘船游览；平稳行驶；轻松获取；巡行；寻觅性伙伴/及物动词:乘船游览；平稳行驶于；徘徊于，巡行于；在...徘徊寻觅；在...寻觅性伙伴/名词:乘船游览
在1万米高空/以每小时500公里的速度巡航:to cruise at 10,000 metres/at 500 km/h
轻松获得胜利/第一名:to cruise to victory/into first place
出租汽车四处寻觅乘客:taxis cruised about, hoping to pick up fares
在/去乘船游览:to be/go on a cruise





dock | BrE dɒk, AmE dɑk | 名词:船坞；港区；码头，泊位/及物动词:使...进港；使...对接/不及物动词:进港；对接/及物动词:扣去；剪掉，剪短
进入/停泊在船坞:to go into/to be in dock;
谴责某人/受到谴责:to put sb/to be in the dock
船停靠在布雷斯特:the ship was docked at Brest
我的薪水被扣了（15％）:my salary was docked (by 15%)




entertainment | BrE ɛntəˈteɪnm(ə)nt, AmE ˌɛn(t)ərˈteɪnmənt | 名词:娱乐；娱乐活动；款待
给某人助兴:for sb's entertainment;
令某人（十分）愉快的是:(much) to the entertainment of sb;
娱乐界:the world of entertainment, the entertainment world
对外国游客的招待:the entertainment of foreign visitors





Wall Street | BrE , AmE ˈwɔl ˌstrit | 专有名词:华尔街
华尔街。美国金融中心。位于美国纽约曼哈顿区。1653年，荷兰殖民者曾在此筑墙（wall），防止英军的袭击，街名即源于此。华尔街集中了美国的大公司和大型金融机构，包括著名的纽约证券交易所（New York Stock Exchange）。现在常用来指代美国金融市场或金融界。





lap | BrE lap, AmE læp | 名词:大腿部；一圈；一段，阶段；/及物动词:舔食；比...领先一圈或数圈；部分重叠于...之上/不及物动词:轻轻拍打；重叠；跑完一圈
生活优裕:in the lap of luxury
现在我们能做的只有等待；这事非人力所能左右:all we can do is to wait, now; it's in the lap of the gods
下一段旅程:the next lap of the journey
湖水轻拍着湖岸:the lake lapped gently on the shore



lap up | 舔食；欣然接受
不管是什么节目，他们的观众都照单全收。
Their audience will lap up whatever they throw at them






stock market | BrE , AmE ˈstɑk ˌmɑrkət | 名词:股市；股票交易
在股市挂牌:to be quoted or listed on the stock market
股市价格:stock-market price or value
股票交易: (trading activity) the stock market




linger | BrE ˈlɪŋɡə, AmE ˈlɪŋɡər | 不及物动词:逗留，留存
她在墓旁徘徊:she lingered beside the grave
慢慢欣赏美景吧:let your eyes linger over the view
他又拖了几个星期:he lingered for another few weeks
他仍然心存疑虑:doubt still lingered in his mind





emptiness | BrE ˈɛm(p)tɪnəs, AmE ˈɛm(p)tinəs | 名词:空旷；无意义；空虚
她的内心有一种隐隐作痛的空虚感
There was an aching emptiness in her heart.





pipeline | BrE ˈpʌɪplʌɪn, AmE ˈpaɪpˌlaɪn | 名词:管道；渠道
铺设煤气/石油管线:to lay a gas/an oil pipeline
«changes, proposals, laws» 在酝酿中:(production process) to be in the pipeline





aside | BrE əˈsʌɪd, AmE əˈsaɪd | 副词:向旁边/名词:旁白
存钱:to put money aside
你帮我把这些货留着好吗？:will you put these goods aside for me?
除了钱的问题令人发愁外，事情进展顺利:money worries aside, things are going well
玩笑归玩笑:joking aside





aside from | 除了…之外
除了几处擦伤外，我安然无恙。
Aside from a few scratches, I'm OK.






rely | BrE rɪˈlʌɪ, AmE rəˈlaɪ | 不及物动词:依靠；依赖
她完全靠写作挣钱:she relied entirely on her writing for her income
信任某人/某事物:to rely on or upon sb/sth
政府的统计不可信:government statistics are not to be relied on
英国的天气根本靠不住:one can never rely on the weather in Britain




archive | BrE ˈɑːkʌɪv, AmE ˈɑrˌkaɪv | 名词:档案；档案馆/及物动词:把...存档
电影档案:film archives
英国广播公司的档案库材料极其丰富。:The BBC's archives are bulging with material.




dispel | BrE dɪˈspɛl, AmE dəˈspɛl |  dispelling 及物动词:驱散；消除
他的发言消除了人们对他身体健康的担心。
His speech dispelled any fears about his health.





once and for all | 彻底地; 一劳永逸地;
看看你能不能把那个小捣乱分子一劳永逸的打发走。
See if you can handle this young trouble-maker once and for all.




content | BrE kənˈtɛnt, AmE kənˈtɛnt | 形容词:满意的，愿意的；心满意足的/及物动词:使满意/反身动词:满足/名词:满足/名词:含量；内容；主题；网站内容/复数形式:容纳的东西；目录；内容
愿意做某事:to be content to do sth;
用某事物来满足某人:to content sb with sth;
脂肪/维生素含量:the fat/vitamin content
